source_id,path,role,parser,physical_records,parsed_records,read,skipped,parse_errors,headers,comments,blank_lines,report_included,gate_included,production_like,expected_records
active_import_ready,supabase/questions_import_ready.csv,import_candidate,csv,10000,10000,10000,0,0,1,0,0,true,true,true,10000
curated_runtime_bank,lib/src/data/curated_question_bank.dart,runtime_secondary,dart_quiz_question,20,20,20,0,0,0,0,0,true,true,true,20
editorial_wave2_review,supabase/2026-07-14_editorial_kurmanci_question_wave_2_for_ai_review.csv,candidate_pool,csv,10000,10000,10000,0,0,1,0,0,true,false,false,10000
generated_master_csv,supabase/2026-07-14_all_generated_questions_master.csv,historical_snapshot,csv,285,285,285,0,0,1,0,0,true,false,false,285
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,8,0,8,0,0,0,0,0,true,false,false,
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,10000,0,10000,0,0,0,0,0,true,false,false,
historical_question_sql,supabase/*question*.sql,historical_snapshot,sql_count,10000,0,10000,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,6,0,6,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,125,0,125,0,0,0,0,0,true,false,false,
historical_rich_parts,supabase/rich_question_bank_v2_parts/*.sql,historical_snapshot,sql_count,112,0,112,0,0,0,0,0,true,false,false,
historical_rich_sql,supabase/rich_question_bank*.sql,historical_snapshot,sql_count,36,0,36,0,0,0,0,0,true,false,false,
historical_rich_sql,supabase/rich_question_bank*.sql,historical_snapshot,sql_count,10008,0,10008,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2000,0,2000,0,0,0,0,0,true,false,false,
historical_sql_chunks,supabase_chunks/rich_bank_part_*.sql,historical_snapshot,sql_count,2008,0,2008,0,0,0,0,0,true,false,false,
live_kurmanci_export,supabase/2026-07-14_chat_all_kurmanci_questions_live.csv,runtime_secondary,csv,377,377,377,0,0,1,0,0,true,true,true,377
offline_runtime_bank,lib/src/data/offline_question_bank.dart,runtime_primary,dart_quiz_question,3125,3125,3125,0,0,0,0,0,true,true,true,3125
open_web_master,supabase/2026-07-14_open_web_candidate_pool_master.csv,candidate_pool,csv,2444,2444,2444,0,0,1,0,0,true,false,false,2444
open_web_review_queue,supabase/2026-07-14_open_web_controlled_review_queue.csv,candidate_pool,csv,2444,2444,2444,0,0,1,0,0,true,false,false,2444
opentdb_candidate_pool,supabase/2026-07-14_opentdb_candidate_pool.csv,candidate_pool,csv,300,300,300,0,0,1,0,0,true,false,false,300
opentdb_remaining,supabase/2026-07-14_opentdb_remaining_categories_candidates.csv,candidate_pool,csv,825,825,825,0,0,1,0,0,true,false,false,825
pure_kurdish_pilot,pure_kurdish_pilot_output.json,candidate_pool,json,80,80,80,0,0,0,0,0,true,false,false,80
rich_v2_csv_snapshot,supabase/rich_question_bank_v2_questions.csv,historical_snapshot,csv,10000,10000,10000,0,0,1,0,0,true,false,false,10000
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,23,23,23,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,12,12,12,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,10,10,10,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,10,10,10,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,24,24,24,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,24,24,24,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,24,24,24,0,0,1,0,0,true,false,false,
translated_batches,supabase/2026-07-14_*_translated_batch_*.csv,candidate_pool,csv,12,12,12,0,0,1,0,0,true,false,false,
wave2_publish_candidates,supabase/wave2_curated_publish_candidates.csv,publish_candidate,csv,49,49,49,0,0,1,0,0,true,true,true,49
wave2_publish_sql_snapshot,supabase/wave2_curated_publish_candidates.sql,historical_snapshot,sql_count,49,0,49,0,0,0,0,0,true,false,false,49
wave2_quarantine,supabase/wave2_quarantine_for_further_review.csv,quarantine,csv,9951,9951,9951,0,0,1,0,0,true,false,false,9951
wave2_reviewed,supabase/wave2_reviewed.csv,historical_snapshot,csv,10000,10000,10000,0,0,1,0,0,true,false,false,10000
wikidata_candidates,supabase/2026-07-14_wikidata_candidate_questions.csv,candidate_pool,csv,1319,1319,1319,0,0,1,0,0,true,false,false,1319
