id,kategori,zorluk,soru,secenek_a,secenek_b,secenek_c,secenek_d,dogru_secenek,dogru_cevap,aciklama,etiketler,kaynak
ZK085,Paradigma,Kolay,"“Jin, Jiyan, Azadî” sloganında “jin” ne demektir?",Kadın,Dağ,Kitap,Ev,A,Kadın,"Jin, Kürtçede kadın anlamına gelir; slogan kadın özgürlüğünü merkeze alan bir ifade haline gelmiştir.","jin, kadın, slogan",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK086,Paradigma,Kolay,“Azadî” kelimesinin Türkçe karşılığı hangisidir?,Özgürlük,Yemek,Köprü,Kış,A,Özgürlük,"Azadî, Kürtçede özgürlük anlamına gelir ve politik-kültürel sloganlarda sık kullanılır.","azadî, özgürlük, Kürtçe",https://www.britannica.com/topic/Kurdish-language
ZK087,Paradigma,Orta,Jineolojî en kısa nasıl açıklanabilir?,Kadın bilgisi/bilimi ve patriyarka eleştirisi etrafında gelişen yaklaşım,Sadece yemek tarifi kitabı,Bir dağ adı,Denizcilik tekniği,A,Kadın bilgisi/bilimi ve patriyarka eleştirisi etrafında gelişen yaklaşım,"Jineolojî, kadın özgürlüğü, toplumsal cinsiyet, tarih ve bilgi üretimini yeniden düşünmeye odaklanan bir yaklaşımdır.","jineolojî, kadın özgürlüğü, bilgi",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK088,Paradigma,Orta,Demokratik konfederalizmde ekoloji neden merkezi bir başlıktır?,Toplum-doğa ilişkisini iktidar ve ekonomi eleştirisiyle birlikte ele aldığı için,Doğayı tamamen yok saydığı için,Sadece betonlaşmayı savunduğu için,Tarımı yasakladığı için,A,Toplum-doğa ilişkisini iktidar ve ekonomi eleştirisiyle birlikte ele aldığı için,"Paradigma, sosyal sorunları ekolojik krizle bağlantılı düşünür ve yerel, sürdürülebilir yaşamı vurgular.","ekoloji, demokratik modernite, sürdürülebilirlik",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK089,Paradigma,Orta,“Demokratik ulus” kavramı hangi düşünceye yakındır?,Tek etnik kimlik yerine çoğul kimliklerin demokratik birlikteliği,Tek dil ve tek kimlik dayatması,Sadece hanedan yönetimi,Kültürsüz toplum modeli,A,Tek etnik kimlik yerine çoğul kimliklerin demokratik birlikteliği,"Demokratik ulus, ortak yaşamı tekçi milliyetçilik yerine çoğulculuk ve demokratik aidiyet üzerinden kurmayı hedefler.","demokratik ulus, çoğulculuk, ortak yaşam",https://link.springer.com/chapter/10.1007/978-3-031-83746-3_1
ZK090,Paradigma,Orta,“Öz yönetim” kavramı bu bağlamda neyi ifade eder?,Yerel toplumun kendi karar süreçlerine katılması,Bütün kararların dışarıdan atanması,Toplumun siyasetten dışlanması,Sadece merkezi bürokrasi,A,Yerel toplumun kendi karar süreçlerine katılması,"Öz yönetim, yerel toplulukların gündelik yaşam ve kamu işleri hakkında söz sahibi olmasını ifade eder.","öz yönetim, yerellik, demokrasi",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK091,Paradigma,Zor,Demokratik konfederalizmde “devletsiz demokrasi” vurgusu neyi anlatır?,Demokratik örgütlenmenin yalnızca merkezi devletle sınırlı olmadığını,Demokrasinin imkânsız olduğunu,Bireyin hiçbir hakkı olmadığını,Yalnızca piyasanın karar verdiğini,A,Demokratik örgütlenmenin yalnızca merkezi devletle sınırlı olmadığını,"Bu vurgu, yerel meclisler, komünler ve konfederal ağlarla toplumun kendi kendini yönetebilmesi fikrini anlatır.","devletsiz demokrasi, komün, konfederalizm",https://link.springer.com/chapter/10.1007/978-3-031-83746-3_1
ZK092,Paradigma,Orta,Kadın özgürlüğü paradigmanın hangi düzeyinde ele alınır?,"Sadece sembolik değil, örgütsel ve kurumsal düzeyde",Tamamen dışarıda bırakılarak,Yalnızca özel günlerde anılarak,Sadece mutfak başlığında,A,"Sadece sembolik değil, örgütsel ve kurumsal düzeyde","Kadın özgürlüğü, eşbaşkanlık, kota, kadın meclisleri ve jineolojî gibi kurumsal biçimlerle birlikte tartışılır.","kadın özgürlüğü, eşbaşkanlık, kurum",https://rojavainformationcenter.org/2023/12/aanes-social-contract-2023-edition/
ZK093,Paradigma,Kolay,“Hevalti” veya “hevaltî” kültürü hangi değere yakındır?,Yoldaşlık ve dayanışma,Yalnızlaşma,Ticari rekabetin kutsanması,Sessiz kalma zorunluluğu,A,Yoldaşlık ve dayanışma,"Hevaltî, arkadaşlık/yoldaşlık ilişkisini kolektif sorumluluk ve dayanışmayla birlikte düşünür.","hevaltî, dayanışma, kolektivite",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK094,Paradigma,Orta,Paradigmanın “çoğulculuk” vurgusu en iyi hangi seçenekle açıklanır?,"Farklı etnik, dini, cinsiyet ve kültürel kimliklerin birlikte yaşaması",Tek kimlik dışındakilerin inkârı,Tüm kültürel farklılıkların yasaklanması,Sadece bir ailenin yönetimi,A,"Farklı etnik, dini, cinsiyet ve kültürel kimliklerin birlikte yaşaması","Çoğulculuk, Kürtlerin yanı sıra Arap, Süryani, Ermeni, Türkmen, Ezidi ve diğer toplulukların haklarını da içeren ortak yaşam fikridir.","çoğulculuk, ortak yaşam, halklar",https://rojavainformationcenter.org/2023/12/aanes-social-contract-2023-edition/
ZK095,Paradigma,Zor,Rojava/AANES deneyiminde “sosyal sözleşme” neye benzer bir işleve sahiptir?,Kurucu ilkeleri ve yönetim esaslarını belirleyen anayasal belge,Sadece yemek menüsü,Bir müzik albümü,Tamamen özel şirket sözleşmesi,A,Kurucu ilkeleri ve yönetim esaslarını belirleyen anayasal belge,"Sosyal sözleşme, yönetim ilkeleri, haklar, kurumlar ve toplumsal ilkeleri düzenleyen anayasal nitelikte bir metindir.","Sosyal Sözleşme, AANES, anayasal belge",https://rojavainformationcenter.org/2023/12/aanes-social-contract-2023-edition/
ZK096,Paradigma,Kolay,"Bu soru bankasında politik konular neden şiddet talimatı gibi değil, kavram ve tarih bilgisi olarak ele alınmalıdır?","Eğitim uygulaması için güvenli, analitik ve demokratik öğrenme amaçlandığı için",Tarihi tamamen silmek için,Dilin öğrenilmesini engellemek için,Yanlış bilgiyi yaymak için,A,"Eğitim uygulaması için güvenli, analitik ve demokratik öğrenme amaçlandığı için","Soru bankası, kullanıcıyı bilgilendirmeye ve kavramları öğretmeye odaklanır; şiddet çağrısı veya operasyonel içerik içermez.","güvenli eğitim, politika, bilgi",https://www.reuters.com/world/middle-east/kurdish-pkk-dissolves-after-decades-struggle-with-turkey-news-agency-close-2025-05-12/
ZK097,Toplum ve Kimlik,Kolay,Kürtler en genel olarak hangi tür topluluk olarak tanımlanır?,Etnik ve dilsel topluluk,Sadece meslek grubu,Sadece spor kulübü,Sadece antik kent,A,Etnik ve dilsel topluluk,"Britannica, Kürtleri etnik ve dilsel bir topluluk olarak tanımlar.","Kürtler, etnik topluluk, dil",https://www.britannica.com/topic/Kurd
ZK098,Toplum ve Kimlik,Orta,Kürt toplumunda dini çeşitlilik için en doğru ifade hangisidir?,"Müslüman çoğunluk yanında Ezidi, Alevi, Yarsanî/Ehl-i Hak ve başka inanç toplulukları da vardır",Tek bir inanç dışında kimse yoktur,Hiçbir dini topluluk yoktur,Sadece Budist manastırlardan oluşur,A,"Müslüman çoğunluk yanında Ezidi, Alevi, Yarsanî/Ehl-i Hak ve başka inanç toplulukları da vardır","Kürt toplumları farklı ülkelerde Sünni, Alevi, Ezidi, Yarsanî/Ehl-i Hak ve diğer inanç gruplarını içeren çeşitlilik gösterir.","inanç, Ezidi, Alevi, Yarsanî",https://www.britannica.com/topic/Kurd
ZK099,Toplum ve Kimlik,Orta,Ezidiler Kürt kültürel coğrafyasında özellikle hangi başlıkla anılır?,Özgün dini-kültürel topluluk ve tarihsel travmalar,Sadece deniz ticareti,Roma ordusu,Japon tiyatrosu,A,Özgün dini-kültürel topluluk ve tarihsel travmalar,"Ezidiler, Kürtçe konuşan/kimliklenen topluluklar arasında özgün inanç yapıları ve yakın dönem travmalarıyla öne çıkar.","Ezidi, inanç, kimlik",https://www.britannica.com/topic/Kurd
ZK100,Toplum ve Kimlik,Kolay,Kürt kimliğinde dil neden merkezi bir öneme sahiptir?,"Kültürel hafıza, edebiyat, sözlü anlatı ve aidiyet taşıdığı için",Hiç konuşulmadığı için,Sadece ticari marka olduğu için,Tüm kültürü yok ettiği için,A,"Kültürel hafıza, edebiyat, sözlü anlatı ve aidiyet taşıdığı için","Dil, dengbêjlikten edebiyata ve günlük yaşama kadar kültürel hafızanın ana taşıyıcılarındandır.","dil, kimlik, kültürel hafıza",https://www.britannica.com/topic/Kurdish-language
ZK101,Toplum ve Kimlik,Orta,Kürt diasporası en çok hangi ihtiyacı canlı tutmaya çalışır?,"Dil, kültür, yayıncılık, dayanışma ve kimlik aktarımı",Kültürü unutma,Sadece spor bahisleri,Yerel dilleri yasaklama,A,"Dil, kültür, yayıncılık, dayanışma ve kimlik aktarımı","Diaspora kurumları ve yayınları, dilin ve kültürel belleğin kuşaklar arasında aktarılması için önemlidir.","diaspora, dil, kültür aktarımı",https://arxiv.org/abs/1909.11467
ZK102,Toplum ve Kimlik,Orta,Kürt toplumunda aşiret yapıları tarihsel olarak hangi işleve sahip olmuştur?,"Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı",Sadece tiyatro dekoru,Hiç toplumsal işlevi yoktur,Deniz filosu,A,"Sosyal örgütlenme, güvenlik, üretim ve siyasal ilişki ağı",Aşiret yapıları tarihsel olarak sosyal dayanışma ve siyasal otorite ağlarının bir parçası olmuştur.,"aşiret, toplum, tarih",https://www.britannica.com/topic/Kurd
ZK103,Toplum ve Kimlik,Kolay,“Halkların kardeşliği” ifadesi bu bağlamda neyi anlatır?,Farklı halkların eşitlik ve barış içinde ortak yaşamını,Tek halk dışındakileri reddetmeyi,Sadece aile bağını,Sadece ticari sözleşmeyi,A,Farklı halkların eşitlik ve barış içinde ortak yaşamını,Kürt sol-demokratik siyasal kültüründe farklı halkların eşitliği ve ortak yaşamı sık vurgulanır.,"halkların kardeşliği, çoğulculuk, eşitlik",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK104,Toplum ve Kimlik,Orta,Kürt kadın hareketinin öne çıkardığı temel kavramlardan biri hangisidir?,Özgür eş yaşam,Mutlak ataerkil hiyerarşi,Kadınların siyasetten dışlanması,Eğitimin yasaklanması,A,Özgür eş yaşam,"Özgür eş yaşam, toplumsal ilişkileri eşitlik, özgürlük ve patriyarka eleştirisi temelinde yeniden düşünür.","özgür eş yaşam, kadın hareketi, eşitlik",https://democraticmodernity.com/the-main-principles-of-democratic-confederalism/
ZK105,Toplum ve Kimlik,Zor,Kürt kimliğinin farklı ülkelerde parçalı gelişmesinin önemli sonucu nedir?,"Dil, siyaset ve kültür politikalarının ülkeye göre farklılaşması",Tüm Kürtlerin aynı resmi statüye sahip olması,Hiç diaspora oluşmaması,Lehçelerin tamamen yok olması,A,"Dil, siyaset ve kültür politikalarının ülkeye göre farklılaşması","Kürtlerin Türkiye, Irak, İran ve Suriye gibi farklı devletlerde yaşaması haklar, dil politikası ve siyasal statü deneyimlerini farklılaştırmıştır.","parçalılık, statü, devletler",https://www.britannica.com/place/Kurdistan
ZK106,Toplum ve Kimlik,Orta,Kürt kültüründe anadil eğitimi talebi hangi hakla doğrudan ilişkilidir?,Dil ve kültürel haklar,Sadece trafik kuralları,Sadece ithalat vergisi,Sadece spor lisansı,A,Dil ve kültürel haklar,"Anadil eğitimi, kültürel haklar ve dilin kuşaklar arası aktarımıyla ilişkilidir.","anadil, eğitim, haklar",https://www.britannica.com/topic/Kurdish-language
ZK107,Toplum ve Kimlik,Kolay,Kürtçe yer adlarını öğrenmek bir uygulamada neyi güçlendirir?,Kültürel aidiyet ve coğrafi hafızayı,Kullanıcıyı tamamen yanıltmayı,Dil görünürlüğünü azaltmayı,Soruları anlamsızlaştırmayı,A,Kültürel aidiyet ve coğrafi hafızayı,"Yer adları, coğrafyayı yalnızca harita değil, hafıza ve kimlik alanı olarak da öğretir.","yer adları, hafıza, uygulama",https://www.britannica.com/place/Kurdistan
ZK108,Toplum ve Kimlik,Orta,Kürt toplumunda sözlü tarih çalışmaları neden değerlidir?,Resmi arşivlerde görünmeyen deneyimleri ve hafızayı kaydedebildiği için,Geçmişi tamamen yok ettiği için,Dil öğrenmeyi engellediği için,Sadece rakam ezberlettiği için,A,Resmi arşivlerde görünmeyen deneyimleri ve hafızayı kaydedebildiği için,"Sözlü tarih, göç, yas, gündelik yaşam ve direniş gibi deneyimleri kişisel anlatılarla görünür kılar.","sözlü tarih, hafıza, arşiv",https://www.balcanicaucaso.org/en/cp_article/the-kurdish-storytellers/
ZK109,Uygulama ve Eğitim,Kolay,ZanKurd gibi bir öğrenme uygulamasında soru bankasının en faydalı biçimi hangisidir?,"Kategori, seçenek, doğru cevap ve açıklama içeren yapı",Sadece boş satırlar,Sadece görsel dosya adları,Hiç cevap içermeyen metin,A,"Kategori, seçenek, doğru cevap ve açıklama içeren yapı","Uygulama için kategori, seçenekler, cevap ve açıklama alanları veri tabanı veya CSV aktarımını kolaylaştırır.","uygulama, CSV, soru bankası",https://arxiv.org/abs/1909.11467
ZK110,Uygulama ve Eğitim,Kolay,Bir soruda açıklama alanı neden önemlidir?,"Kullanıcının sadece ezber değil, bağlam öğrenmesini sağladığı için",Doğru cevabı saklamak için,Soru kalitesini düşürmek için,CSV’yi bozmak için,A,"Kullanıcının sadece ezber değil, bağlam öğrenmesini sağladığı için","Açıklama, cevabın neden doğru olduğunu kısa ve öğretici şekilde gösterir.","pedagoji, açıklama, öğrenme",https://arxiv.org/abs/1909.11467
ZK111,Uygulama ve Eğitim,Orta,Kürtçe kelime soruları uygulamada hangi öğrenme hedefini destekler?,Temel sözvarlığı ve kültürel kavramları tanıma,Tüm tarih bilgisini silme,Kullanıcıyı sadece İngilizceye yöneltme,Soru çözmeyi engelleme,A,Temel sözvarlığı ve kültürel kavramları tanıma,"Kelime soruları, dil öğrenimi ile kültürel bağlamı birlikte pekiştirir.","sözvarlığı, dil öğrenimi, Kürtçe",https://www.britannica.com/topic/Kurdish-language
ZK112,Uygulama ve Eğitim,Orta,Politik sorularda güvenli ve kaliteli eğitim için en doğru yöntem nedir?,"Kavram, tarih, kurum ve haklar üzerinden nesnel bağlam vermek",Şiddet talimatı vermek,Yanlış bilgi üretmek,Tek seçenekli propaganda yazmak,A,"Kavram, tarih, kurum ve haklar üzerinden nesnel bağlam vermek","Politik içerik, eğitim uygulamasında tarihsel bağlam ve kavramsal açıklama ile verilmelidir; operasyonel şiddet içeriği kullanılmamalıdır.","politik eğitim, güvenlik, nesnellik",https://www.reuters.com/world/middle-east/kurdish-pkk-dissolves-after-decades-struggle-with-turkey-news-agency-close-2025-05-12/
ZK113,Uygulama ve Eğitim,Orta,Kaynak sütunu CSV’de ne işe yarar?,Bilginin doğrulanabilirliğini artırır,Cevabı otomatik yanlış yapar,Dil öğrenimini yasaklar,Dosyayı PDF’ye çevirmez,A,Bilginin doğrulanabilirliğini artırır,"Kaynak URL’si, ileride editörün bilgiyi kontrol etmesini ve gerektiğinde güncellemesini sağlar.","kaynak, doğrulama, CSV",https://www.britannica.com/topic/Kurd
ZK114,Uygulama ve Eğitim,Kolay,“Zorluk” alanı neyi sağlar?,Kullanıcı seviyesine göre soru seçmeyi,Tüm soruları silmeyi,Cevapları karartmayı,Dosyayı okunamaz yapmayı,A,Kullanıcı seviyesine göre soru seçmeyi,"Kolay, orta ve zor gibi seviyeler, uygulamanın öğrenme akışını kademeli kurmasına yardım eder.","zorluk, seviye, öğrenme tasarımı",https://arxiv.org/abs/1909.11467
ZK115,Uygulama ve Eğitim,Orta,Kürtçe NLP çalışmalarının artması ZanKurd gibi uygulamalara nasıl katkı sağlar?,"Otomatik düzeltme, arama, ses tanıma ve içerik önerisi geliştirme imkânı verir",Dil görünürlüğünü azaltır,Tüm içerikleri siler,Sadece yemek pişirir,A,"Otomatik düzeltme, arama, ses tanıma ve içerik önerisi geliştirme imkânı verir","Korpus ve konuşma verisi gibi kaynaklar, arama, öneri, ses tanıma ve eğitim teknolojileri için temel oluşturur.","NLP, dil teknolojisi, uygulama",https://arxiv.org/abs/2102.07412
ZK116,Uygulama ve Eğitim,Orta,Uygulamada kültürel görseller kullanılırken en doğru yaklaşım hangisidir?,"Kaynak, telif ve temsil doğruluğuna dikkat etmek",Her görseli izinsiz almak,Alakasız görsel kullanmak,Tüm kültürü tek klişeye indirgemek,A,"Kaynak, telif ve temsil doğruluğuna dikkat etmek","Kültürel materyallerde telif, temsil ve bağlam doğruluğu kullanıcı güvenini artırır.","görsel, telif, temsil",https://whc.unesco.org/en/list/1437/
ZK117,Uygulama ve Eğitim,Zor,Bir soru bankasında “etiketler” alanı hangi teknik işe yarar?,"Arama, filtreleme ve kişiselleştirilmiş tekrar sistemi kurmaya",Doğru cevabı yok etmeye,Kaynakları saklamaya,PDF sayfalarını karıştırmaya,A,"Arama, filtreleme ve kişiselleştirilmiş tekrar sistemi kurmaya","Etiketler, uygulamada kategori içi filtreleme ve zayıf konu tekrarları için kullanılabilir.","etiket, filtreleme, spaced repetition",https://arxiv.org/abs/1909.11467
ZK118,Uygulama ve Eğitim,Kolay,Kullanıcı yanlış cevap verdiğinde en öğretici geri bildirim hangisidir?,Kısa açıklama ve doğru cevabın nedeni,Sadece “yanlış” demek,Uygulamayı kapatmak,Kullanıcıyı cezalandırmak,A,Kısa açıklama ve doğru cevabın nedeni,"Etkili geri bildirim, yanlış cevabı düzeltir ve kavramı öğretir.","geri bildirim, öğrenme, açıklama",https://arxiv.org/abs/1909.11467
ZK119,Uygulama ve Eğitim,Orta,Soru bankasında güncel siyaset soruları neden düzenli güncellenmelidir?,"Parti adları, süreçler, hukuki statüler ve barış görüşmeleri zamanla değişebildiği için",Tarih hiç değişmediği için,CSV buna izin vermediği için,Soruların hiç kaynağı olmadığı için,A,"Parti adları, süreçler, hukuki statüler ve barış görüşmeleri zamanla değişebildiği için",2025-2026 barış ve silahsızlanma tartışmaları gibi konular güncel gelişmelere bağlıdır; düzenli kaynak kontrolü gerekir.,"güncellik, siyaset, kaynak kontrolü",https://www.reuters.com/business/media-telecom/jailed-kurdish-militant-boss-says-peace-laws-needed-democratic-integration-2026-02-27/
ZK120,Uygulama ve Eğitim,Zor,ZanKurd için en dengeli politik içerik stratejisi hangisidir?,"Kürt özgürlük paradigmasını kavramsal olarak öğretirken çoğulculuk, barış ve demokratik çözüm dilini korumak",Sadece tek slogan ezberletmek,Şiddet yöntemi anlatmak,Tüm tarihsel bağlamı silmek,A,"Kürt özgürlük paradigmasını kavramsal olarak öğretirken çoğulculuk, barış ve demokratik çözüm dilini korumak","Uygulama, kullanıcının politik ilgisini karşılayabilir; ancak eğitim dili barışçıl, kavramsal, eleştirel ve doğrulanabilir olmalıdır.","içerik stratejisi, demokratik çözüm, paradigma",https://link.springer.com/chapter/10.1007/978-3-031-83746-3_1
